"locus_tag","gene","protein_id","kegg_id_kegg","kegg_id_eggnog","kegg_id_koala","dbcan_family","cayman_family","kegg_consensus"
"I5Q87_00245",NA,"QQR26428.1","K06973","K06973","K06973",NA,NA,"K06973"
"I5Q87_00250",NA,"QQR26429.1",NA,NA,NA,NA,NA,NA
"I5Q87_00255",NA,"QQR26430.1",NA,NA,NA,NA,NA,NA
"I5Q87_00260",NA,"QQR26431.1",NA,NA,NA,NA,NA,NA
"I5Q87_00265",NA,"QQR26432.1",NA,"K02477",NA,NA,NA,"K02477"
"I5Q87_00270",NA,"QQR26433.1",NA,NA,NA,NA,NA,NA
"I5Q87_00275",NA,"QQR26434.1",NA,"K10947","K10947",NA,NA,"K10947"
"I5Q87_00280",NA,"QQR26435.1","K07009","K07009","K07009",NA,NA,"K07009"
"I5Q87_00285",NA,"QQR26436.1","K23393","K23393","K23393",NA,NA,"K23393"
"I5Q87_00290",NA,"QQR26437.1","K01923","K01923","K01923",NA,NA,"K01923"
"I5Q87_00295",NA,"QQR26438.1","K01756","K01756","K01756",NA,NA,"K01756"
"I5Q87_00300",NA,"QQR26439.1","K01937","K01937","K01937",NA,NA,"K01937"
"I5Q87_00305",NA,"QQR26440.1",NA,"K22010",NA,NA,NA,"K22010"
"I5Q87_00310",NA,"QQR26441.1","K01915","K01915","K01915",NA,NA,"K01915"
"I5Q87_00315",NA,"QQR26442.1","K01939","K01939","K01939",NA,NA,"K01939"
"I5Q87_00320",NA,"QQR26443.1","K03593","K03593","K03593",NA,NA,"K03593"
"I5Q87_00325",NA,"QQR26444.1","K04763","K04763",NA,NA,NA,"K04763"
"I5Q87_00330",NA,"QQR26445.1",NA,"K15460","K15460",NA,NA,"K15460"
"I5Q87_00335",NA,"QQR26446.1",NA,"K06384","K06384",NA,NA,"K06384"
"I5Q87_00340","dinB","QQR26447.1","K02346","K02346","K02346",NA,NA,"K02346"
"I5Q87_00345","spo0A","QQR26448.1","K07699","K07699","K07699",NA,NA,"K07699"
"I5Q87_00350",NA,"QQR26449.1","K06399","K06399","K06399",NA,NA,"K06399"
"I5Q87_00355","recN","QQR26450.1","K03631","K03631","K03631",NA,NA,"K03631"
"I5Q87_00360",NA,"QQR26451.1","K06442","K06442","K06442",NA,NA,"K06442"
"I5Q87_00365",NA,"QQR26452.1","K01662","K01662","K01662",NA,NA,"K01662"
"I5Q87_00370",NA,"QQR26453.1","K13789","K13789",NA,NA,NA,"K13789"
"I5Q87_00375","xseB","QQR26454.1",NA,NA,NA,NA,NA,NA
"I5Q87_00380","xseA","QQR26455.1","K03601","K03601","K03601",NA,NA,"K03601"
"I5Q87_00385","nusB","QQR26456.1","K03625","K03625","K03625",NA,NA,"K03625"
"I5Q87_00390",NA,"QQR26457.1","K01081","K01081",NA,NA,NA,"K01081"
"I5Q87_00395",NA,"QQR26458.1",NA,NA,NA,NA,NA,NA
"I5Q87_00400",NA,"QQR26459.1",NA,"K06397","K06397",NA,NA,"K06397"
"I5Q87_00405",NA,"QQR26460.1",NA,NA,NA,NA,NA,NA
"I5Q87_00410",NA,"QQR26461.1","K11753","K11753","K11753",NA,NA,"K11753"
"I5Q87_00415","truB","QQR26462.1","K03177","K03177","K03177",NA,NA,"K03177"
"I5Q87_00420",NA,"QQR26463.1","K14058","K14058","K14058",NA,NA,"K14058"
"I5Q87_00425",NA,"QQR26464.1",NA,"K03698",NA,NA,NA,"K03698"
"I5Q87_00430",NA,"QQR26465.1","K10979","K10979","K10979",NA,NA,"K10979"
"I5Q87_00435",NA,"QQR26466.1","K01971","K01971","K01971",NA,NA,"K01971"
"I5Q87_00445",NA,"QQR26467.1",NA,"K11051","K11051",NA,NA,"K11051"
"I5Q87_00450",NA,"QQR26468.1",NA,"K02477",NA,NA,NA,"K02477"
"I5Q87_00455",NA,"QQR26469.1",NA,"K06199",NA,NA,NA,"K06199"
"I5Q87_00460","aspS","QQR26470.1","K01876","K01876","K01876",NA,NA,"K01876"
"I5Q87_00465",NA,"QQR26471.1","K01892","K01892","K01892",NA,NA,"K01892"
"I5Q87_00470",NA,"QQR26472.1",NA,NA,"K18189",NA,NA,"K18189"
"I5Q87_00475",NA,"QQR26473.1",NA,"K18348",NA,NA,NA,"K18348"
"I5Q87_00480",NA,"QQR26474.1",NA,NA,NA,NA,NA,NA
"I5Q87_00485",NA,"QQR26475.1","K01869","K01869","K01869",NA,NA,"K01869"
"I5Q87_00490",NA,"QQR26476.1",NA,NA,NA,NA,NA,NA
"I5Q87_00495","gltA","QQR26477.1","K00266","K00266","K00266",NA,NA,"K00266"
"I5Q87_00500",NA,"QQR26478.1","K00528","K00528",NA,NA,NA,"K00528"
"I5Q87_00505",NA,"QQR26479.1","K03785","K03785","K03785",NA,NA,"K03785"
"I5Q87_00510",NA,"QQR26480.1","K11688","K21395","K11688",NA,NA,"K11688"
"I5Q87_00515",NA,"QQR26481.1","K11690","K11690","K11690",NA,NA,"K11690"
"I5Q87_00520",NA,"QQR26482.1",NA,"K21394","K11689",NA,NA,"K11689"
"I5Q87_00525",NA,"QQR26483.1","K26745","K26745","K26745",NA,NA,"K26745"
"I5Q87_00530",NA,"QQR26484.1","K05887","K00014","K00014",NA,NA,"K00014"
"I5Q87_00535",NA,"QQR26485.1",NA,"K00219,K10797,K15870,K15873,K26069,K26178",NA,NA,NA,"K00219,K10797,K15870,K15873,K26069,K26178"
"I5Q87_00540",NA,"QQR26486.1",NA,"K09681",NA,NA,NA,"K09681"
"I5Q87_00545",NA,"QQR26487.1",NA,"K00014,K00891,K01147,K13829","K00891",NA,NA,"K00891"
"I5Q87_00550","aroF","QQR26488.1","K03856","K03856","K03856",NA,NA,"K03856"
"I5Q87_00555",NA,"QQR26489.1",NA,"K00873","K00873",NA,NA,"K00873"
"I5Q87_00560",NA,"QQR26490.1",NA,NA,NA,NA,NA,NA
"I5Q87_00565",NA,"QQR26491.1",NA,"K22391","K22391",NA,NA,"K22391"
"I5Q87_00570",NA,"QQR26492.1",NA,NA,NA,NA,NA,NA
"I5Q87_00575",NA,"QQR26493.1",NA,"K14980",NA,NA,NA,"K14980"
"I5Q87_00585",NA,"QQR26494.1",NA,NA,NA,NA,NA,NA
"I5Q87_00590",NA,"QQR28329.1","K07139","K07139","K07139",NA,NA,"K07139"
"I5Q87_00595",NA,"QQR26495.1","K07010","K07010","K07010",NA,NA,"K07010"
"I5Q87_00600",NA,"QQR26496.1",NA,NA,NA,NA,NA,NA
"I5Q87_00605",NA,"QQR26497.1","K28203","K02566",NA,NA,NA,"K02566"
"I5Q87_00610",NA,"QQR26498.1",NA,NA,NA,NA,NA,NA
"I5Q87_00615",NA,"QQR26499.1",NA,"K05820",NA,NA,NA,"K05820"
"I5Q87_00620",NA,"QQR26500.1",NA,NA,NA,NA,NA,NA
"I5Q87_00625",NA,"QQR26501.1",NA,"K09992",NA,NA,NA,"K09992"
"I5Q87_00630",NA,"QQR26502.1",NA,NA,NA,NA,NA,NA
"I5Q87_00635",NA,"QQR26503.1",NA,NA,NA,NA,NA,NA
"I5Q87_00640",NA,"QQR26504.1","K00756","K00756","K00756",NA,NA,"K00756"
"I5Q87_00645",NA,"QQR26505.1","K00287","K00287","K00287",NA,NA,"K00287"
"I5Q87_00650",NA,"QQR26506.1","K06183","K06183","K06183",NA,NA,"K06183"
"I5Q87_00655",NA,"QQR26507.1",NA,"K03328,K06409",NA,NA,NA,"K03328,K06409"
"I5Q87_00660",NA,"QQR26508.1",NA,NA,NA,NA,NA,NA
"I5Q87_00665",NA,"QQR26509.1","K23188","K25290","K02013",NA,NA,"K02013"
"I5Q87_00670",NA,"QQR26510.1","K25289","K25289",NA,NA,NA,"K25289"
"I5Q87_00675",NA,"QQR26511.1","K25288","K25288",NA,NA,NA,"K25288"
"I5Q87_00680",NA,"QQR26512.1","K25308","K25308","K02016",NA,NA,"K25308"
"I5Q87_00685",NA,"QQR26513.1",NA,"K05524",NA,NA,NA,"K05524"
"I5Q87_00690",NA,"QQR26514.1",NA,NA,NA,NA,NA,NA
"I5Q87_00695","dapA","QQR26515.1","K01714","K01714","K01714",NA,NA,"K01714"
"I5Q87_00700",NA,"QQR26516.1","K06411","K06411","K06411",NA,NA,"K06411"
"I5Q87_00705",NA,"QQR26517.1","K06410","K06410","K06410",NA,NA,"K06410"
"I5Q87_00710",NA,"QQR26518.1","K01866","K01866","K01866",NA,NA,"K01866"
"I5Q87_00715",NA,"QQR26519.1","K02529","K02529",NA,NA,NA,"K02529"
"I5Q87_00720",NA,"QQR26520.1",NA,NA,NA,NA,NA,NA
"I5Q87_00725",NA,"QQR26521.1",NA,NA,NA,NA,NA,NA
"I5Q87_00730","murC","QQR26522.1","K01924","K01924","K01924",NA,NA,"K01924"
"I5Q87_00735",NA,"QQR26523.1",NA,NA,NA,NA,NA,NA
"I5Q87_00740",NA,"QQR28330.1",NA,NA,NA,NA,NA,NA
"I5Q87_00745","trmB","QQR26524.1","K03439","K03439","K03439",NA,NA,"K03439"
"I5Q87_00750","pepV","QQR26525.1","K01439","K01439",NA,NA,NA,"K01439"
"I5Q87_00755","pnp","QQR26526.1","K00962","K00962","K00962",NA,NA,"K00962"
"I5Q87_00760","rpsO","QQR26527.1","K02956","K02956","K02956",NA,NA,"K02956"
"I5Q87_00765",NA,"QQR26528.1",NA,"K07482","K07482",NA,NA,"K07482"
"I5Q87_00770",NA,"QQR26529.1",NA,NA,NA,NA,NA,NA
"I5Q87_00775","hemW","QQR26530.1",NA,"K02495","K02495",NA,NA,"K02495"
"I5Q87_00780",NA,"QQR26531.1",NA,NA,NA,NA,NA,NA
"I5Q87_00785","lepA","QQR26532.1","K03596","K03596","K03596",NA,NA,"K03596"
"I5Q87_00790",NA,"QQR26533.1",NA,NA,NA,NA,NA,NA
"I5Q87_00795",NA,"QQR26534.1",NA,"K07727","K07727",NA,NA,"K07727"
"I5Q87_00800",NA,"QQR28331.1","K00604","K00604","K00604",NA,NA,"K00604"
"I5Q87_00805",NA,"QQR26535.1",NA,NA,NA,NA,NA,NA
"I5Q87_00810",NA,"QQR26536.1","K06385","K06385","K06385",NA,NA,"K06385"
"I5Q87_00815",NA,"QQR26537.1","K06012","K06012","K06012",NA,NA,"K06012"
"I5Q87_00820","rpsT","QQR26538.1","K02968","K02968","K02968",NA,NA,"K02968"
"I5Q87_00825",NA,"QQR26539.1",NA,NA,NA,NA,NA,NA
"I5Q87_00830",NA,"QQR26540.1",NA,NA,NA,NA,NA,NA
"I5Q87_00835","rseP","QQR26541.1","K11749","K11749","K11749",NA,NA,"K11749"
"I5Q87_00840",NA,"QQR26542.1","K00099","K00099","K00099",NA,NA,"K00099"
"I5Q87_00845",NA,"QQR26543.1","K00981","K00981","K00981",NA,NA,"K00981"
"I5Q87_00850",NA,"QQR26544.1","K00806","K00806","K00806",NA,NA,"K00806"
"I5Q87_00855","frr","QQR26545.1","K02838","K02838","K02838",NA,NA,"K02838"
"I5Q87_00860",NA,"QQR26546.1","K09903","K09903","K09903",NA,NA,"K09903"
"I5Q87_00865",NA,"QQR26547.1","K02357","K02357","K02357",NA,NA,"K02357"
"I5Q87_00870","rpsB","QQR26548.1","K02967","K02967","K02967",NA,NA,"K02967"
"I5Q87_00875","xerC","QQR26549.1","K03733","K03733","K04763",NA,NA,"K03733"
"I5Q87_00880","trmFO","QQR26550.1","K04094","K04094","K04094",NA,NA,"K04094"
"I5Q87_00885","topA","QQR26551.1","K03168","K03168","K03168",NA,NA,"K03168"
"I5Q87_00890","dprA","QQR26552.1","K04096","K04096","K04096",NA,NA,"K04096"
"I5Q87_00895",NA,"QQR26553.1","K26392",NA,"K26392",NA,NA,"K26392"
"I5Q87_00900",NA,"QQR26554.1",NA,NA,"K07340",NA,NA,"K07340"
"I5Q87_00905",NA,"QQR26555.1",NA,NA,NA,NA,NA,NA
"I5Q87_00910",NA,"QQR26556.1","K03470","K03470","K03470",NA,NA,"K03470"
"I5Q87_00915","ylqF","QQR26557.1","K14540","K14540","K14540",NA,NA,"K14540"
"I5Q87_00920","lepB","QQR26558.1","K03100","K03100","K03100",NA,NA,"K03100"
"I5Q87_00925","lepB","QQR26559.1","K03100","K03100","K03100",NA,NA,"K03100"
"I5Q87_00930","rplS","QQR26560.1","K02884","K02884","K02884",NA,NA,"K02884"
"I5Q87_00935",NA,"QQR26561.1",NA,"K21929",NA,NA,NA,"K21929"
"I5Q87_00940","trmD","QQR26562.1","K00554","K00554","K00554",NA,NA,"K00554"
"I5Q87_00945","rimM","QQR26563.1","K02860","K02860","K02860",NA,NA,"K02860"
"I5Q87_00950",NA,"QQR26564.1",NA,"K06960","K06960",NA,NA,"K06960"
"I5Q87_00955","rpsP","QQR26565.1","K02959","K02959","K02959",NA,NA,"K02959"
"I5Q87_00965",NA,"QQR26566.1",NA,"K03789",NA,NA,NA,"K03789"
"I5Q87_00970",NA,"QQR28332.1",NA,NA,NA,NA,NA,NA
"I5Q87_00975",NA,"QQR26567.1",NA,"K03088","K03088",NA,NA,"K03088"
"I5Q87_00980",NA,"QQR26568.1",NA,"K18347,K23109",NA,NA,NA,"K18347,K23109"
"I5Q87_00985","ffh","QQR26569.1","K03106","K03106","K03106",NA,NA,"K03106"
"I5Q87_00990",NA,"QQR26570.1","K00563","K00563","K00563",NA,NA,"K00563"
"I5Q87_00995",NA,"QQR26571.1",NA,"K19286",NA,NA,NA,"K19286"
"I5Q87_01000",NA,"QQR26572.1",NA,NA,NA,NA,NA,NA
"I5Q87_01005","thiI","QQR26573.1","K03151","K03151","K03151",NA,NA,"K03151"
"I5Q87_01010",NA,"QQR26574.1","K04487","K04487","K04487",NA,NA,"K04487"
"I5Q87_01015",NA,"QQR26575.1","K06286","K06286","K06286",NA,NA,"K06286"
"I5Q87_01020","rpsD","QQR26576.1","K02986","K02986","K02986",NA,NA,"K02986"
"I5Q87_01025",NA,"QQR26577.1",NA,"K03111","K03111",NA,NA,"K03111"
"I5Q87_01030",NA,"QQR26578.1",NA,"K27617",NA,NA,NA,"K27617"
"I5Q87_01035",NA,"QQR26579.1",NA,"K27616",NA,NA,NA,"K27616"
"I5Q87_01040",NA,"QQR26580.1","K23536","K23536","K23536",NA,NA,"K23536"
"I5Q87_01045",NA,"QQR26581.1","K23535","K23535","K23535",NA,NA,"K23535"
"I5Q87_01050",NA,"QQR26582.1","K23537","K23537","K23537",NA,NA,"K23537"
"I5Q87_01055",NA,"QQR26583.1","K07335","K07335","K07335",NA,NA,"K07335"
"I5Q87_01060",NA,"QQR26584.1","K03466","K03466","K03466",NA,NA,"K03466"
"I5Q87_01065",NA,"QQR26585.1","K12574","K12574","K12574",NA,NA,"K12574"
"I5Q87_01070","miaB","QQR26586.1","K06168","K06168","K06168",NA,NA,"K06168"
"I5Q87_01075",NA,"QQR26587.1",NA,NA,NA,NA,NA,NA
"I5Q87_01080",NA,"QQR26588.1","K09769","K09769","K09769",NA,NA,"K09769"
"I5Q87_01085","rny","QQR26589.1","K18682","K18682","K18682",NA,NA,"K18682"
"I5Q87_01090","recA","QQR26590.1","K03553","K03553","K03553",NA,NA,"K03553"
"I5Q87_01095",NA,"QQR26591.1","K03743","K03743","K03743",NA,NA,"K03743"
"I5Q87_01100","pgsA","QQR26592.1","K00995","K00995","K00995",NA,NA,"K00995"
"I5Q87_01105",NA,"QQR26593.1",NA,"K15539","K15539",NA,NA,"K15539"
"I5Q87_01115",NA,"QQR26594.1",NA,NA,NA,NA,NA,NA
"I5Q87_01120",NA,"QQR26595.1","K05366","K05366",NA,"GT51","GT51","K05366"
"I5Q87_01125","recU","QQR28333.1","K03700","K03700","K03700",NA,NA,"K03700"
"I5Q87_01130",NA,"QQR26596.1","K05366","K05366",NA,"GT51","GT51","K05366"
"I5Q87_01135","nth","QQR26597.1","K10773","K10773","K10773",NA,NA,"K10773"
"I5Q87_01140",NA,"QQR26598.1","K02086","K02086","K02086",NA,NA,"K02086"
"I5Q87_01145",NA,"QQR26599.1",NA,NA,NA,NA,NA,NA
"I5Q87_01150",NA,"QQR26600.1","K01243","K01243","K01243",NA,NA,"K01243"
"I5Q87_01155",NA,"QQR26601.1",NA,"K13010,K13307,K13311,K13326,K13330,K21335",NA,NA,NA,"K13010,K13307,K13311,K13326,K13330,K21335"
"I5Q87_01160","rsfS","QQR26602.1","K09710","K09710","K09710",NA,NA,"K09710"
"I5Q87_01165","nadD","QQR26603.1","K00969","K00969","K00969",NA,NA,"K00969"
"I5Q87_01170","yhbY","QQR26604.1","K07574","K07574","K07574",NA,NA,"K07574"
"I5Q87_01175","yqeH","QQR26605.1","K06948","K06948","K06948",NA,NA,"K06948"
"I5Q87_01180",NA,"QQR26606.1","K07015","K07015","K07015",NA,NA,"K07015"
"I5Q87_01185",NA,"QQR26607.1","K22108","K21962",NA,NA,NA,"K21962"
"I5Q87_01190",NA,"QQR26608.1","K07785",NA,NA,NA,NA,"K07785"
"I5Q87_01195",NA,"QQR26609.1",NA,"K01269","K01269",NA,NA,"K01269"
"I5Q87_01200",NA,"QQR26610.1","K07487","K07487","K07487",NA,NA,"K07487"
"I5Q87_01205","sigK","QQR26611.1","K03091","K03091","K03091",NA,NA,"K03091"
"I5Q87_01210",NA,"QQR26612.1",NA,NA,NA,NA,NA,NA
"I5Q87_01215",NA,"QQR26613.1",NA,NA,NA,NA,NA,NA
"I5Q87_01220",NA,"QQR26614.1","K03091","K03091","K03091",NA,NA,"K03091"
"I5Q87_01225",NA,"QQR26615.1","K06379","K06379","K06379",NA,NA,"K06379"
"I5Q87_01225",NA,"QQR26615.1","K06379","K06379","K04757",NA,NA,"K06379"
"I5Q87_01230",NA,"QQR26616.1","K06378","K06378",NA,NA,NA,"K06378"
"I5Q87_01235",NA,"QQR26617.1","K00764","K00764","K00764",NA,NA,"K00764"
"I5Q87_01240","asnB","QQR26618.1","K01953","K01953","K01953",NA,NA,"K01953"
"I5Q87_01245","amt","QQR26619.1","K03320","K03320","K03320",NA,NA,"K03320"
"I5Q87_01245","amt","QQR26619.1","K03320","K03320","K04751",NA,NA,"K03320"
"I5Q87_01250",NA,"QQR26620.1","K01915","K01915","K01915",NA,NA,"K01915"
"I5Q87_01255","gdhA","QQR26621.1","K00262","K00262","K00262",NA,NA,"K00262"
"I5Q87_01260",NA,"QQR26622.1",NA,NA,NA,NA,NA,NA
"I5Q87_01265",NA,"QQR26623.1",NA,NA,"K22083",NA,NA,"K22083"
"I5Q87_01270",NA,"QQR26624.1",NA,NA,NA,NA,NA,NA
"I5Q87_01275",NA,"QQR26625.1","K01915","K01915","K01915",NA,NA,"K01915"
"I5Q87_01280",NA,"QQR26626.1",NA,"K22010",NA,NA,NA,"K22010"
"I5Q87_01285",NA,"QQR26627.1",NA,NA,NA,NA,NA,NA
"I5Q87_01290",NA,"QQR26628.1","K07258","K07258","K07258",NA,NA,"K07258"
"I5Q87_01295",NA,"QQR26629.1","K01744","K01744","K01744",NA,NA,"K01744"
"I5Q87_01300",NA,"QQR26630.1",NA,"K24866",NA,NA,NA,"K24866"
"I5Q87_01305","hemL","QQR26631.1","K01845","K01845","K01845",NA,NA,"K01845"
"I5Q87_01310","hemB","QQR26632.1","K01698","K01698","K01698",NA,NA,"K01698"
"I5Q87_01315","cobA","QQR26633.1","K13542","K13542","K13542",NA,NA,"K13542"
"I5Q87_01315","cobA","QQR26633.1","K13542","K13542","K02303",NA,NA,"K13542"
"I5Q87_01315","cobA","QQR26633.1","K13542","K13542","K01719",NA,NA,"K13542"
"I5Q87_01320","hemC","QQR26634.1","K01749","K01749","K01749",NA,NA,"K01749"
"I5Q87_01325","hemA","QQR26635.1","K02492","K02492","K02492",NA,NA,"K02492"
"I5Q87_01330",NA,"QQR26636.1","K00366","K00392",NA,NA,NA,"K00392"
"I5Q87_01335",NA,"QQR26637.1",NA,NA,NA,NA,NA,NA
"I5Q87_01340",NA,"QQR26638.1",NA,"K03486,K05799",NA,NA,NA,"K03486,K05799"
"I5Q87_01345",NA,"QQR26639.1",NA,"K19295",NA,NA,NA,"K19295"
"I5Q87_01350",NA,"QQR26640.1","K19294","K19294","K19294",NA,NA,"K19294"
"I5Q87_01355",NA,"QQR26641.1",NA,NA,NA,NA,NA,NA
"I5Q87_01360",NA,"QQR26642.1",NA,NA,NA,NA,NA,NA
"I5Q87_01365",NA,"QQR26643.1","K01934","K01934","K01934",NA,NA,"K01934"
"I5Q87_01370","sufB","QQR26644.1","K09014","K09014","K09014",NA,NA,"K09014"
"I5Q87_01375",NA,"QQR26645.1","K04488","K04488",NA,NA,NA,"K04488"
"I5Q87_01380","sufS","QQR26646.1","K11717","K11717",NA,NA,NA,"K11717"
"I5Q87_01385",NA,"QQR26647.1",NA,"K09015",NA,NA,NA,"K09015"
"I5Q87_01390","sufC","QQR26648.1","K09013","K09013","K09013",NA,NA,"K09013"
"I5Q87_01395",NA,"QQR26649.1","K07533","K07533",NA,NA,NA,"K07533"
"I5Q87_01400",NA,"QQR26650.1",NA,"K07533",NA,NA,NA,"K07533"
"I5Q87_01405",NA,"QQR26651.1","K02503","K02503","K02503",NA,NA,"K02503"
"I5Q87_01410",NA,"QQR26652.1",NA,NA,NA,NA,NA,NA
"I5Q87_01415",NA,"QQR26653.1",NA,NA,NA,NA,NA,NA
"I5Q87_01420","coaD","QQR26654.1","K00954","K00954","K00954",NA,NA,"K00954"
"I5Q87_01425","rsmD","QQR26655.1","K08316","K08316","K08316",NA,NA,"K08316"
"I5Q87_01430",NA,"QQR26656.1","K03588","K03588",NA,"GT119",NA,"K03588"
"I5Q87_01435",NA,"QQR26657.1","K01462","K01462","K01462",NA,NA,"K01462"
"I5Q87_01440",NA,"QQR26658.1","K12574","K12574","K12574",NA,NA,"K12574"
"I5Q87_01445",NA,"QQR26659.1","K07098","K07098","K07098",NA,NA,"K07098"
"I5Q87_01450","pheT","QQR26660.1","K01890","K01890","K01890",NA,NA,"K01890"
"I5Q87_01455","pheS","QQR26661.1","K01889","K01889","K01889",NA,NA,"K01889"
"I5Q87_01460",NA,"QQR26662.1","K02669","K02669","K02669",NA,NA,"K02669"
"I5Q87_01465","tadA","QQR26663.1","K02454","K02652",NA,NA,NA,"K02652"
"I5Q87_01475",NA,"QQR26664.1",NA,"K02248,K02456,K02458",NA,NA,NA,"K02248,K02456,K02458"
"I5Q87_01480",NA,"QQR26665.1",NA,NA,NA,NA,NA,NA
"I5Q87_01485",NA,"QQR28334.1",NA,NA,NA,NA,NA,NA
"I5Q87_01490",NA,"QQR26666.1",NA,NA,NA,NA,NA,NA
"I5Q87_01495","pilM","QQR26667.1",NA,"K02662",NA,NA,NA,"K02662"
"I5Q87_01500",NA,"QQR26668.1","K02455","K02653",NA,NA,NA,"K02653"
"I5Q87_01505",NA,"QQR26669.1","K02654","K02654","K02654",NA,NA,"K02654"
"I5Q87_01515",NA,"QQR26670.1","K03437","K03437","K03437",NA,NA,"K03437"
"I5Q87_01520","ileS","QQR26671.1","K01870","K01870","K01870",NA,NA,"K01870"
"I5Q87_01525",NA,"QQR26672.1",NA,"K04074","K04074",NA,NA,"K04074"
"I5Q87_01530",NA,"QQR26673.1",NA,NA,NA,NA,NA,NA
"I5Q87_01535","sepF","QQR26674.1","K09772","K09772","K09772",NA,NA,"K09772"
"I5Q87_01540",NA,"QQR26675.1",NA,NA,NA,NA,NA,NA
"I5Q87_01545",NA,"QQR26676.1","K03091","K03091","K03091",NA,NA,"K03091"
